Playlist_Name,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min
album rock,-9.580619047619047,0.5238095238095238,0.04280952380952382,0.1344221904761905,0.17544398523809526,0.14124761904761907,0.3341857142857143,122.78852380952382,5.492654761904762
big room,-4.4080625,0.5,0.095303125,0.0522019875,0.24393676656249996,0.193646875,0.3234625,129.93,3.2348151041666666
classic rock,-7.156,0.6818181818181818,0.06251363636363637,0.3007765554545455,0.11352183318181817,0.22900909090909094,0.5667272727272726,121.74459090909092,4.232843181818182
dance pop,-5.672641975308642,0.5061728395061729,0.0800395061728395,0.1511751851851852,0.03242043160493827,0.16966543209876545,0.48974814814814815,116.3106913580247,3.569093621399177
electro house,-5.575233766233766,0.564935064935065,0.09114610389610389,0.08606459675324675,0.26271937006493506,0.18356948051948052,0.4262545454545455,123.0737012987013,3.7255814935064935
electropop,-5.815358024691358,0.49382716049382713,0.07824012345679011,0.14395489530864197,0.0679697150617284,0.17054444444444444,0.5011012345679013,118.9713888888889,3.588612448559671
gangster rap,-6.195983606557376,0.5300546448087432,0.27418469945355195,0.185181131147541,0.016777374316939896,0.19519508196721316,0.436648087431694,121.60330054644808,3.2720727686703097
hard rock,-4.874372093023255,0.5348837209302325,0.07084418604651163,0.008362661162790696,0.03575000465116279,0.21258139534883722,0.41032558139534886,137.36467441860466,3.8336476744186045
hip hop,-8.61350769230769,0.4307692307692308,0.18639692307692307,0.32345667692307695,0.21154817123076924,0.16861846153846155,0.45172307692307695,116.66903076923077,3.1153779487179487
hip pop,-6.502666666666667,0.5606060606060606,0.1327378787878788,0.20039202272727272,0.019884735984848485,0.1645780303030303,0.48813257575757585,118.83760606060606,3.4654012626262625
indie poptimism,-6.672391534391534,0.582010582010582,0.06077407407407407,0.24578123280423284,0.05900798878306878,0.1675555555555555,0.47363121693121696,116.81720634920633,3.6130233686067017
latin hip hop,-5.137527027027027,0.527027027027027,0.12263648648648648,0.14185428378378379,0.050057353445945946,0.18906959459459458,0.6019547297297297,117.89505405405406,3.693441554054054
latin pop,-5.1917368421052625,0.7543859649122807,0.07470175438596491,0.1684935087719298,0.015281515263157892,0.18154561403508773,0.669438596491228,114.93831578947369,3.505113157894737
neo soul,-8.2926091954023,0.5114942528735632,0.16412241379310344,0.34060471264367814,0.03474261149425288,0.1765764367816092,0.44436896551724137,112.68231609195401,3.724066283524904
new jack swing,-9.963666666666668,0.6666666666666666,0.07543333333333334,0.04353333333333334,0.0037895166666666665,0.08846666666666665,0.8130000000000001,136.439,5.008072222222222
permanent wave,-8.289266666666666,0.6,0.07377333333333333,0.34684648,0.198551716,0.20690666666666666,0.40641999999999995,129.31246666666667,3.8502566666666667
pop edm,-5.059341772151899,0.5316455696202531,0.07612658227848103,0.12317087341772154,0.005143348860759492,0.19221772151898736,0.4376822784810126,123.72549367088605,3.4670054852320678
post-teen pop,-5.699305555555555,0.5416666666666666,0.11082222222222221,0.18560869444444447,0.0054121666666666676,0.18246666666666667,0.5223555555555556,123.15747222222222,3.5386175925925927
progressive electro house,-6.1187872340425535,0.5531914893617021,0.07172553191489361,0.07713768085106383,0.24215124035460994,0.1868581560283688,0.374454609929078,123.66897872340427,4.255139361702128
reggaeton,-4.7787804878048785,0.5609756097560976,0.10342682926829268,0.16368536585365856,0.0004534953658536585,0.15362195121951222,0.7137317073170732,127.07836585365852,3.5006760162601624
southern hip hop,-6.645892307692308,0.5692307692307692,0.21213230769230768,0.1414390076923077,0.009208453923076924,0.19864384615384614,0.4229276923076923,124.41292307692308,3.6435457692307693
trap,-6.404678571428572,0.5119047619047619,0.1341404761904762,0.25174692857142855,0.07428165547619046,0.1522904761904762,0.3806142857142857,133.43730952380952,3.7534021825396824
tropical,-7.645657718120805,0.5973154362416108,0.07635100671140939,0.2265918140939597,0.08190551624161074,0.1725248322147651,0.4536241610738255,116.31355704697987,3.3808697986577183
urban contemporary,-7.9348193548387105,0.4967741935483871,0.13458580645161292,0.3615276,0.052014185225806454,0.16352451612903227,0.3907077419354838,114.36830967741938,3.9174541935483873
